article_title;birth_date;death_date;death_place;religion;death_cause;honorific_prefix;birth_name;parents;spouse;children;profession;alma_mater;birth_place;summary;wikiurl;relatives;image
Yogi Supardi;1929-07-25;2019-09-15;(RSPAD) Gatot Soebroto, Jakarta Pusat, Indonesia;;;;;;;;;"Akademi Militer
Angkatan I";Klaten, Jawa Tengah;Letjen TNI (Purn.) Ignatius Yogi Supardi (25 Juli 1929 – 15 September 2019) adalah seorang perwira tinggi TNI Angkatan Darat dan juga mantan Komandan Seskoad yang ke 11. Ia merupakan mertua dari Kanjeng Gusti Pangeran Adipati Arya (KGPAA) Mangkunegara IX dari Puro Mangkunegaran (Surakarta), dan mendapatkan gelar serta nama sepuh Kanjeng Pangeran Haryo (KPH) Haryogi Mangun Winoto.Yogi Supardi, merupakan alumni Akademi Militer (MA) Angkatan pertama tahun 1945-1948. Ia juga pernah menempuh pendidikan di luar negeri untuk bidang Artileri. Berbagai jabatan teritorial hingga kementerian juga pernah diembannya.;https://id.wikipedia.org/wiki/Yogi_Supardi;;Ignatius Yogi Supardi.jpg
Hadi Prabowo;1960-04-03;;;Islam;;;;;;;;"Universitas Diponegoro
Universitas Islam Indonesia
Institut Pemerintahan Dalam Negeri";Klaten, Indonesia;Prof. Dr. H. Hadi Prabowo, M.M. atau yang dikenal dengan inisial HP (lahir 3 April 1960) adalah Rektor Institut Pemerintahan Dalam Negeri, sebelumnya beliau menjabat sebagai Sekretaris Jenderal Kementerian Dalam Negeri. Pada Pemilihan Gubernur Jawa Tengah 2013, Hadi maju sebagai calon gubernur yang diusung oleh gabungan partai antara lain PKS, Gerindra, PKB, PPP, Hanura, dan PKNU berpasangan dengan Don Murdono, bupati Sumedang.Selesai ditugaskan sebagai Sekda Provinsi Jawa Tengah, pria berkumis ini lalu diberi tugas di Kementerian Dalam Negeri. Berturut-turut tugas yang diemban adalah Staf Ahli Menteri Dalam Negeri lalu Deputi I Badan Nasional Pengelola Perbatasan (BNPP) dan menjabat sebagai Sekretaris Jenderal Kementerian Dalam Negeri.;https://id.wikipedia.org/wiki/Hadi_Prabowo;;Hadi_Prabowo.jpg
A.M. Hendropriyono;1945-05-07;;;;;;;;;Diaz Hendropriyono;;Akademi Militer;Yogyakarta, Masa Pendudukan Jepang;"Jenderal TNI (HOR) (Purn.) Prof. Dr. Abdullah Mahmud Hendropriyono, S.T., S.H., M.H  atau sering disebut A.M. Hendropriyono (lahir 7 Mei 1945) adalah seorang tokoh intelijen dan militer Indonesia. Hendropriyono adalah Kepala Badan Intelijen Negara pertama, ia dijuluki the master of intelligence karena menjadi ""Profesor di bidang ilmu Filsafat Intelijen"" pertama di dunia. Ia juga pernah menjadi Menteri Transmigrasi dan Pemukiman Perambah Hutan Republik Indonesia dalam Kabinet Pembangunan VII dan Kabinet Reformasi Pembangunan dari tahun 1998 hingga 1999. Ia menjadi Ketua Umum Partai Keadilan dan Persatuan Indonesia (PKPI) dari tanggal 27 Agustus 2016 hingga 13 April 2018.";https://id.wikipedia.org/wiki/A.M._Hendropriyono;Andika Perkasa;AM Hendropriyono.jpg
Wiranto;1947-04-04;;;;;;;;Rugaiya Usman;"Amalia Sianti
Maya Wiranto
Zainal Nur Rizky";;"Akademi Militer
Universitas Terbuka
Perguruan Tinggi Ilmu Hukum Militer
Universitas Negeri Jakarta";Yogyakarta, Indonesia;Jenderal TNI (Purn.) Dr. H. Wiranto S.H. S.I.P. M.M. (lahir 4 April 1947) adalah seorang mantan perwira tinggi militer dan politikus senior berkebangsaan Indonesia. Saat ini, ia diberi mandat oleh Presiden Joko Widodo untuk menjabat sebagai Ketua Dewan Pertimbangan Presiden pada akhir 2019. Kiprahnya di politik di awali ketika dirinya ditunjuk menjadi Menteri Pertahanan dan Keamanan menjelang berakhirnya masa Orde Baru. Saat itu, Wiranto tergabung dalam Golongan Karya hingga akhirnya ia membentuk partai baru bernama Partai Hati Nurani Rakyat pada tahun 2006.Wiranto merupakan lulusan Akademi Militer 1968 berhasil meniti karir militer sampai puncak jabatan di ABRI (sekarang TNI) sebagai Panglima merangkap Menhankam.Jabatan rangkap sebagai Menhankam/Pangab, kecuali Wiranto juga pernah dijabat oleh Jenderal TNI (Purn.) M. Jusuf. Pada pergantian Orde Baru ke Orde Reformasi tahun 1998/1999, Wiranto sebagai Menhankam/Pangab memiliki peran yang sangat menentukan dalam mengawal proses pergantian tersebut.;https://id.wikipedia.org/wiki/Wiranto;;File:Wiranto2.jpg
Osa Maliki Wangsadinata;1907-12-30;1969-09-14;Indonesia Semarang, Jawa Tengah;Islam;;;;;;;;;Hindia Belanda Padalarang, Bandung Barat;Osa Maliki Wangsadinata (30 Desember 1907 – 15 September 1969)  adalah pejuang Indonesia pada masa revolusi. Lahir dan besar di lingkungan keluarga pengurus mesjid dan mengenyam pendidikan di Taman Siswa hingga kemudian menjadi pengajar dan aktif di berbagai organisasi pergerakan.;https://id.wikipedia.org/wiki/Osa_Maliki_Wangsadinata;;Osa Maliki, Hasil Rakjat Memilih Tokoh-tokoh Parlemen (Hasil Pemilihan Umum Pertama - 1955) di Republik Indonesia, p75.jpg
Saleh Afiff;1930-10-31;2005-06-28;Jakarta, Indonesia;;;;;;;;;Universitas Indonesia;Cirebon, Jawa Barat, Hindia Belanda;Prof. Dr. Saleh Afiff (31 Oktober 1930 – 28 Juni 2005) adalah Menteri Koordinator Bidang Ekonomi dan Keuangan Indonesia pada Kabinet Pembangunan VI (1993–1998).;https://id.wikipedia.org/wiki/Saleh_Afiff;;Sixth Development Cabinet Poster (Saleh Afiff).jpg
Alex Asmasoebrata;1951-06-23;2021-01-02;Jakarta, Indonesia;;;;;;Sofia Muri Mardiana;Alexandra Asmasoebrata;;;Jakarta, Indonesia;Alex Asmasoebrata (23 Juni 1951 – 2 Januari 2021) adalah seorang pembalap mobil dan politikus asal Indonesia.;https://id.wikipedia.org/wiki/Alex_Asmasoebrata;;
Sayidiman Suryohadiprojo;1927-09-21;2021-01-16;RSPAD, Jakarta Pusat;Islam;;;;;Sri Suharyati;;;"Akademi Militer
Angkatan I";Bojonegoro, Jawa Timur, Hindia Belanda;Letnan Jenderal TNI (Purn.) Sayidiman Suryohadiprodjo (21 September 1927 – 16 Januari 2021) adalah seorang purnawirawan perwira tinggi militer dan diplomat Indonesia yang menjabat sebagai Wakil Kepala Staf TNI Angkatan Darat dari tahun 1973 sampai dengan tahun 1974, Duta Besar Indonesia untuk Jepang dari tahun 1979 sampai tahun 1983, dan Duta Besar Indonesia untuk Afrika dari tahun 1992 sampai dengan 1995. Sedangkan di luar lingkungan TNI ia menjabat sebagai Gubernur Lemhannas.Ia menjadi lulusan terbaik ke 3 Militer Akademi (MA) Yogyakarta angkatan ke I tahun 1948 ini dikenal memiliki pengalaman, pengetahuan, dan perhatian yang luas atas berbagai bidang, khususnya dalam bidang militer, politik, dan diplomasi. Semua ini berkat kiprah dan penugasan yang pernah diembannya sejak berusia muda, mulai dari ikut berjuang dalam Perang Kemerdekaan, mengikuti berbagai operasi mengatasi masalah-masalah keamanan dalam negeri, seperti Darul Islam, PRRI/Permesta, dan G30S/PKI, hingga penugasan di luar bidang militer. Saat ini ia menjabat Ketua Ikatan Keluarga Akademi Militer Jogjakarta.;https://id.wikipedia.org/wiki/Sayidiman_Suryohadiprojo;;Sayidiman Suryohadiprojo veteran (cropped).jpg
Poniman;1926-07-18;2010-04-30;Jakarta, Indonesia;Islam;;;;;Ida Djubaedah;;;PETA;Sukoharjo, Jawa Tengah, Hindia BelandaDinas Sejarah TNI AD 2016 302;Untuk S. Poniman (aktor) lihat: S. Poniman.Jenderal TNI (Purn.) Poniman (18 Juli 1926 – 30 April 2010) adalah Kepala Staf TNI Angkatan Darat Ke-13 (1980-1983) dan Menteri Pertahanan Republik Indonesia dari 19 Maret 1983 — 21 Maret 1988. Ia menjalani pendidikannya di HIS, MULO, Kambu Kyoiku Tai, SSKAD V, Bandung (1956) dan Seskoad, Bandung (1964). Ia menikah dengan Ida Djubaedah dan dikaruniai empat orang anak. Ia memperoleh 17 penghargaan berupa bintang dan tanda jasa. Beliau wafat di Jakarta pada tanggal 30 April 2010 dalam usia 83 tahun dan dimakamkan di Taman Makam Pahlawan Nasional Utama (TMPNU) Kalibata, Jakarta Selatan.;https://id.wikipedia.org/wiki/Poniman;;Jenderal_TNI_Poniman.png
I Gusti Ketut Pudja;1908-05-19;1977-05-04;Jakarta;Hindu;;;;"I Gusti Nyoman Raka
Jero Ratna Kusuma";I Gusti Ayu Made Mirah;;;Rechtshoogeschool te Batavia;Belanda Sukasada, Bali, Hindia Belanda;I Gusti Ketut Pudja (19 Mei 1908 – 4 Mei 1977) adalah Pahlawan Nasional Indonesia. Ia ikut serta dalam perumusan negara Indonesia melalui Panitia Persiapan Kemerdekaan Indonesia mewakili Sunda Kecil (saat ini Bali dan Nusa Tenggara).;https://id.wikipedia.org/wiki/I_Gusti_Ketut_Pudja;;I Gusti Ketut Pudja as the Governor of Lesser Sunda.jpg
Rusli Halil;1920-07-23;1984-07-10;Jakarta, Indonesia;;;;Roesli Halil;;Syarwati;Irene Ratnawati Rusli;;Universitas Nasional;Solok, Pesisir Barat Sumatra, Hindia Belanda;Buya Haji Rusli Halil (23 Juli 1920 – 10 Juli 1984) merupakan pendiri Partai Persatuan Pembangunan (PPP) dan Ketua Umum  Persatuan Tarbiyah Islamiyah (PERTI) periode 1966–1985. Ia juga pernah menjadi anggota MPR RI periode 1971–1977, anggota tim P-7, anggota DPA periode 1973–1978, dan anggota DPR RI dari daerah pemilihan Sumatera Barat periode 1982–1987.;https://id.wikipedia.org/wiki/Rusli_Halil;;Haji Rusli Halil.jpg
Ong Eng Die;1910-06-20;;;Katolik;;;;;Gertrud Wilhelmine Höhnerbach;;;;Gorontalo,  Hindia Belanda;DR. Ong Eng Die (Wang Yongli) (Lahir di Gorontalo, 20 Juni 1910 dan Meninggal: tanggal dan tempat belum diketahui) adalah seorang politisi Partai Nasional Indonesia sekaligus ekonom handal yang pernah menjadi Menteri Keuangan Indonesia ke-9.Ong Eng Die juga merupakan Menteri Keuangan Indonesia pertama keturunan Tionghoa-Indonesia yang berasal dari Gorontalo, Sulawesi.Di masa itu, menurut Prof. Lindblad, posisi tokoh nasional Tionghoa-Peranakan menjadi Menteri Keuangan adalah “highly unusual” (sangat tidak biasa dan tidak terbayangkan).;https://id.wikipedia.org/wiki/Ong_Eng_Die;;Ong Eng Die, Kami Perkenalkan (1954), p24.jpg
Soesilo Soedarman;1928-11-12;1997-12-18;Jakarta, Indonesia;Islam;Pembengkakan jantung;;;;Widaningsri;Indroyono Soesilo;Militer;"Akademi Militer
Angkatan I";Kroya, Cilacap, Jawa Tengah, Hindia Belanda;Jenderal TNI (HOR) (Purn.) Soesilo Soedarman (EYD: Susilo Sudarman) (10 November 1928 – 18 Desember 1997) adalah Menteri Koordinator Bidang Politik, Hukum dan Keamanan pada Kabinet Pembangunan VI (1993—1998) dan Menteri Pariwisata, Pos dan Telekomunikasi pada Kabinet Pembangunan V (1988—1993). Soesilo Soedarman juga pernah menjabat sebagai Duta Besar RI untuk Amerika Serikat yang berkedudukan di Washington DC dari 18 Februari 1986 hingga 11 April 1988. Ia juga menjadi Anggota MPR RI mewakili Golongan Karya untuk daerah pemilihan Sumatera Utara hingga akhir hayatnya.;https://id.wikipedia.org/wiki/Soesilo_Soedarman;;Sixth Development Cabinet Poster (Soesilo Soedarman).jpg
Widodo A. S.;1944-08-01;;;Islam;;;;;;;;Akademi Angkatan Laut;Boyolali, Jawa Tengah, Hindia Jepang;Laksamana TNI (Purn.) Widodo Adi Sutjipto (lahir 1 Agustus 1944) adalah perwira tinggi militer Indonesia. Ia pernah menjabat sebagai anggota Dewan Pertimbangan Presiden. Sebelumnya ia menjabat sebagai Menkopolhukam sejak 21 Oktober 2004 hingga 20 Oktober 2009. Ia juga mantan Panglima Tentara Nasional Indonesia dan Kepala Staf TNI Angkatan Laut.;https://id.wikipedia.org/wiki/Widodo_A._S.;;Laksamana TNI Widodo AS.png
Setya Novanto;1955-11-12;;;;;;;;"Luciana Lily Herliyanti
Deisti Astriani Tagor, S.H.";;;"Universitas Katolik Widya Mandala Surabaya
Universitas Trisakti";Bandung, Jawa Barat, Indonesia;Drs. Setya Novanto, Ak. (lahir 12 November 1955) adalah politikus asal Jawa Barat, Indonesia yang diusung oleh Partai Golkar. Ia menjabat Ketua DPR RI periode 2014—2019, dan telah menjadi anggota DPR RI sejak 1999 hingga masa jabatan 2019 (tanpa putus) sebagai perwakilan Golkar dari dapil Nusa Tenggara Timur Dua, yang meliputi wilayah Pulau Timor, Rote, Sabu, dan Sumba. Namun, pada tanggal 16 Desember 2015, Ia mengundurkan diri dari jabatannya sebagai Ketua DPR RI terkait kasus pencatutan nama Presiden RI Joko Widodo dalam rekaman kontrak PT. Freeport Indonesia. Ia juga menjabat sebagai Ketua Fraksi Golkar periode 2009-2014. Ia menjabat sebagai Ketua Umum Partai Golkar periode 2016-2017.;https://id.wikipedia.org/wiki/Setya_Novanto;;Setya Novanto, Ketua DPR RI.jpg
Syamaun Gaharu;1913-11-10;2000-09-30;Jakarta;Islam;;;;;;;;;Teupin Raya, Pidie, Aceh;Brigjen TNI (Purn.) H. Syamaun Gaharu (10 November 1913 – 30 September 2000) adalah seorang tokoh pejuang kemerdekaan menentang pemerintahan Hindia Belanda di Aceh.;https://id.wikipedia.org/wiki/Syamaun_Gaharu;;Letnan Kolonel Sjamaun Gaharu.jpg
Yos Sudarso;1925-11-24;1962-01-15;Laut Aru, Papua;Katolik;;;;;Siti Kustini;;;;Salatiga, Jawa Tengah;Laksamana Muda TNI (Ant.) Yosaphat Soedarso (24 November 1925 – 15 Januari 1962) adalah seorang pahlawan nasional Indonesia. Ia gugur di atas KRI Macan Tutul dalam peristiwa pertempuran Laut Aru setelah ditembak oleh kapal patroli Hr. Ms. Eversten milik armada Belanda pada masa kampanye Trikora. Beliau mendapat pendidikan di bidang pelayaran di Sekolah Pelayaran Tinggi yang kini menjadi Politeknik Ilmu Pelayaran Semarang. Namanya kini diabadikan menjadi nama KRI dan pulau.;https://id.wikipedia.org/wiki/Yos_Sudarso;;Lukisan Yos Sudarso.jpg
Izaac Hindom;1934-12-23;2009-03-11;Jayapura, Papua, Indonesia;;;;;;;;;;Adora, Teluk Patipi, Fakfak, Hindia Belanda;Izaac Hindom (23 Desember 1934 – 11 Maret 2009) adalah seorang birokrat dan politikus Indonesia yang menjabat sebagai Gubernur Irian Jaya (sekarang Papua) dari tahun 1982 sampai 1988.;https://id.wikipedia.org/wiki/Izaac_Hindom;;Izaac Hindom, Api Perjuangan Pembebasan Irian Barat.jpg
Sugiono (militer);1948-09-10;;;;;;;;;;;Akademi Militer;Cilacap, Jawa Tengah, Indonesia;Letnan Jenderal TNI (Purn.) Sugiono (lahir 10 September 1948) adalah seorang mantan perwira tinggi Tentara Nasional Indonesia Angkatan Darat yang pernah menjabat sebagai Sekretaris Jenderal Departemen Pertahanan dari 1999 hingga 2001, Kepala Staf Umum Tentara Nasional Indonesia pada 1999, Wakil Kepala Staf TNI Angkatan Darat dari 1998 sampai 1999, Panglima Komando Cadangan Strategis Angkatan Darat pada 1997 sampai 1998, dan Komandan Pasukan Pengamanan Presiden dari 1995 hingga 1997.;https://id.wikipedia.org/wiki/Sugiono_(militer);;Komandan Paspampres Sugiono.jpg
Dodi Reza Alex Noerdin;1970-11-01;;;;;;;"Alex Noerdin
Sri Eliza";Erini Muthia Yufada;;;;Palembang, Sumatera Selatan;Dr. H. Dodi Reza Alex Noerdin, Lic.Econ., M.B.A. (lahir 1 November 1970). Ia adalah Bupati Musi Banyuasin periode 2017—2021. Sebelumnya, ia menjabat sebagai Anggota DPR RI Fraksi Golkar dua periode yakni 2009—2014 dan 2014—2016. Ia merupakan anak kandung dari mantan Gubernur Sumatera Selatan, Alex Noerdin.;https://id.wikipedia.org/wiki/Dodi_Reza_Alex_Noerdin;;Dodi Reza Alex Noerdin.jpg
Subiakto Tjakrawerdaya;1944-08-10;2021-01-02;Indonesia Jakarta;Islam;COVID-19;;;;Siti Milangoni;;;Universitas Kristen Indonesia;Jepang Cilacap, Jawa Tengah, Masa Pendudukan Jepang;Subiakto Tjakrawerdaya (10 Agustus 1944 – 2 Januari 2021) adalah Menteri Koperasi Indonesia pada tahun 1993 hingga tahun 1998 pada Kabinet Pembangunan VI dan Kabinet Pembangunan VII pada masa pemerintahan Presiden Soeharto.;https://id.wikipedia.org/wiki/Subiakto_Tjakrawerdaya;;Subiakto Tjakrawerdaya.jpg
Nugroho Notosusanto;1930-07-15;1985-06-03;Jakarta, Indonesia;;;;;;Irma Sawitri Ramelan;;;Universitas Indonesia;Rembang, Jawa Tengah, Hindia Belanda;Brigadir Jenderal TNI (Purn.) Prof. Dr. Raden Panji Nugroho Notosusanto (15 Juli 1930 – 3 Juni 1985) adalah seorang penulis cerpen Indonesia yang menjadi sejarawan militer yang menjabat sebagai guru besar sejarah di Universitas Indonesia. Lahir dari keluarga bangsawan di Jawa Tengah, ia menunjukkan rasa nasionalisme yang tinggi sejak usia muda. Selama Revolusi Nasional Indonesia dari 1945 hingga 1949, ia terlibat dinas aktif sebagai anggota Tentara Pelajar, bekerja di pengintaian. Meski ingin tetap di militer, di bawah pengaruh ayahnya ia melanjutkan pendidikan, akhirnya mendaftar di Fakultas Sastra Universitas Indonesia.  Selama tahun 1950-an ia menulis secara ekstensif dan aktif di berbagai kelompok politik dan akademis, akhirnya lulus dengan gelar sarjana sejarah pada tahun 1958.;https://id.wikipedia.org/wiki/Nugroho_Notosusanto;;Nugroho Notosusanto - Fourth Development Cabinet.jpg
Joop Ave;1934-12-05;2014-02-05;Singapura;;;;;;;;;;Yogyakarta, Hindia Belanda;Joop Ave (5 Desember 1934 – 5 Februari 2014) adalah salah satu orang paling dekat dan dipercaya oleh Presiden Soeharto yang pernah menjabat Menteri Pariwisata, Pos dan Telekomunikasi Republik Indonesia pada Kabinet Pembangunan VI dan Kepala Rumah Tangga Istana Presiden.;https://id.wikipedia.org/wiki/Joop_Ave;;Sixth Development Cabinet Poster (Joop Ave).jpg
Bambang Trihatmodjo;1953-07-23;;;;;;;;"Halimah Agustina Kamil
Mayangsari";;;;Surakarta, Jawa Tengah;Bambang Trihatmodjo Soeharto (lahir 23 Juli 1953) adalah seorang putra ketiga mantan Presiden Indonesia H. M. Soeharto dan Siti Hartinah. Bambang Trihatmodjo Soeharto adalah seorang pengusaha nasional pendiri PT Global Mediacom Tbk. Sosok Bambang Trihatmodjo Soeharto dikenal kontroversial dari segi bisnis dinilai meroket karena posisi ayahnya sebagai Presiden RI. Bambang Trihatmodjo Soeharto salah satu pebisnis yang memiliki perusahaan yang menggurita diberbagai bidang, keahliannya dalam berbisnis tak bisa diragukan lagi, pada tahun 1998 kekayaan Bambang Trihatmodjo Soeharto dilaporkan sekitar $ 3,5 Milyar. Bambang Trihatmodjo Soeharto menikah dengan Halimah Agustina Kamil pada tanggal 24 Oktober 1981 serta dikaruniai 3 orang anak yaitu Gendis Siti Hatmanti Soeharto, Panji Adhikumoro Soeharto, dan Bambang Aditya Trihatmanto Soeharto.;https://id.wikipedia.org/wiki/Bambang_Trihatmodjo;;
Wirjono Prodjodikoro;1903-06-11;1985-04-01;Jakarta, Indonesia;;;;;;;;;;Surakarta, Hindia Belanda;Wirjono Prodjodikoro, S.H. adalah Ketua Mahkamah Agung periode 1952-1966. Ia dipilih dan diangkat Presiden setelah sebelumnya dicalonkan DPR. Pada masa ini, posisi subordinasi Mahkamah Agung dengan pemerintah terlihat jelas. Terbukti dengan masuknya MA ke dalam Kabinet Dwikora I (Agustus 1964 - Februari 1966). Saat itu, Wirjono diberi jabatan Menteri Koordinator untuk Kompartimen Hukum dan Dalam Negeri;https://id.wikipedia.org/wiki/Wirjono_Prodjodikoro;;Wirjono Prodjodikoro.png
Tungki Ariwibowo;1936-12-13;2007-03-03;Singapura;;;;;;;;;;Kepanjen, Malang, Hindia Belanda;Tungki Ariwibowo (13 Desember 1936 – 3 Maret 2002), adalah mantan Menteri Perindustrian dan Perdagangan pada periode 1993 - 1998.;https://id.wikipedia.org/wiki/Tungki_Ariwibowo;;Sixth Development Cabinet Poster (Tungki Ariwibowo).jpg
M. Jusuf;1928-06-23;2004-09-08;Makassar, Sulawesi Selatan, Indonesia;;;;Andi Muhammad Jusuf Amir;;Elly Saelan;;Tentara, Politikus, dan Dokter;;Kajuara, Bone, Celebes, Hindia Belanda;M. Yusuf beralih ke halaman ini. Untuk kegunaan lainnya, lihat Muhammad Yusuf.Jenderal TNI (Purn.) Andi Muhammad Jusuf Amir (23 Juni 1928 – 8 September 2004) atau lebih dikenal dengan nama M. Jusuf adalah salah satu tokoh militer Indonesia yang sangat berpengaruh dalam sejarah kemiliteran Indonesia. Ia juga merupakan salah satu keturunan bangsawan dari suku Bugis—hal ini dapat dilihat dengan gelar Andi pada namanya—akan tetapi melepaskan gelar kebangsawanannya itu pada tahun 1957 dan tidak pernah menggunakannya lagi.;https://id.wikipedia.org/wiki/M._Jusuf;;Jenderal TNI M Jusuf.png
Rudini;1929-12-15;2006-01-21;Jakarta, Indonesia;;;;;;Oddyana Rudini;;TNI dan Politisi;Koninklijke Akademi Militer Breda;Malang, Jawa Timur, Hindia Belanda;Jenderal TNI (Purn.) H. Rudini (15 Desember 1929 – 21 Januari 2006) adalah seorang purnawirawan TNI Angkatan Darat dan politikus Indonesia yang pernah menjabat sebagai Kepala Staf TNI Angkatan Darat (1983-1986) dan Menteri Dalam Negeri Republik Indonesia dalam Kabinet Pembangunan V (1988-1993).;https://id.wikipedia.org/wiki/Rudini;;Rudini as Chief of Staff of the Indonesian Army.jpg
Munawir Sjadzali;1925-11-07;2004-07-23;Jakarta, Indonesia;Islam;;;;;;;;;Belanda Klaten, Jawa Tengah, Hindia Belanda;Prof. Dr. H. Munawir Sjadzali (7 November 1925 – 23 Juli 2004) adalah Menteri Agama Republik Indonesia pada Kabinet Pembangunan III dan IV. Ia dikenal karena memiliki hubungan dekat dengan Mohammad Hatta dan sebagai sosok Menteri Agama yang memiliki latar belakang diplomat dibandingkan latar belakang terkait agama serta memiliki ketertarikan dengan musik klasik serta kemampuan dalam bercerita dan beretorika.;https://id.wikipedia.org/wiki/Munawir_Sjadzali;;Duta Besar Kuwait Munawir Sjadzali.jpg
Nazom Nurhawi;1940-12-25;2013-03-12;Palembang, Sumatera Selatan;Islam;;;;;;;;Akademi Militer;Epil, Lais, Musi Banyuasin, Sumatera Selatan;Kolonel Chb. (Purn.) H. Nazom Nurhawi (25 Desember 1940 – 12 Maret 2013) adalah tokoh militer Indonesia. Dia pernah menjabat sebagai Bupati Musi Banyuasin periode 1996—2001.;https://id.wikipedia.org/wiki/Nazom_Nurhawi;;Berkas:Nazom Nurhawi Regent of Musi Banyuasin.jpg
Harsono Tjokroaminoto;1912-04-24;1992-04-22;Jakarta, Indonesia;;;;;;;;;;Madiun, Hindia Belanda;Harsono Tjokroaminoto (24 April 1912 – 22 April 1992) adalah seorang tokoh politik Indonesia yang berhaluan nonkooperatif dengan Belanda. Harsono merupakan Menteri Negara Bidang Penyempurnaan dan Pembersihan Aparatur Negara di Indonesia.;https://id.wikipedia.org/wiki/Harsono_Tjokroaminoto;"Siti Oetari
Anwar Tjokroaminoto
M.S. Hidayat";Harsono Tjokroaminoto, Pekan Buku Indonesia 1954, p247.jpg
R. Hartono;1941-06-10;;;;;;;;Oetari;;TNI dan Politisi;Akademi Militer;Pademawu, Pamekasan, Hindia Belanda;Jenderal TNI (Purn.) Raden Hartono (lahir 10 Juni 1941) adalah seorang purnawirawan Jenderal dari korps Kavaleri yang bersama-sama Tutut membentuk partai politik bernama Partai Karya Peduli Bangsa. Ia juga pernah menjabat sebagai Kepala Staf TNI Angkatan Darat Ke-18 (1995-1997), Menteri Dalam Negeri Republik Indonesia (1998-1998) dan Gubernur Lemhannas (1993–1994).;https://id.wikipedia.org/wiki/R._Hartono;;Jenderal TNI R. Hartono.png
